X,Y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,14
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,14
3,13
0,0
0,0
0,0
0,0
0,0
3,7
3,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,14
4,13
4,12
0,0
0,0
0,0
4,8
4,7
4,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,14
5,13
5,12
5,11
0,0
5,9
5,8
5,7
5,6
0,0
0,0
0,0
0,0
0,0
0,0
6,18
6,17
6,16
6,15
0,0
6,13
6,12
6,11
0,0
6,9
6,8
6,7
0,0
6,5
6,4
6,3
6,2
0,0
0,0
0,0
7,17
7,16
7,15
7,14
0,0
7,12
7,11
0,0
7,9
7,8
0,0
7,6
7,5
7,4
7,3
0,0
0,0
0,0
0,0
0,0
8,16
8,15
8,14
8,13
0,0
8,11
0,0
8,9
0,0
8,7
8,6
8,5
8,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,15
9,14
9,13
9,12
0,11
0,0
0,9
9,8
9,7
9,6
9,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
11,15
11,14
11,13
11,12
0,11
0,0
0,9
11,8
11,7
11,6
11,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
12,16
12,15
12,14
12,13
0,0
12,11
0,0
12,9
0,0
12,7
12,6
12,5
12,4
0,0
0,0
0,0
0,0
0,0
13,17
13,16
13,15
13,14
0,0
13,12
13,11
0,0
13,9
13,8
0,0
13,6
13,5
13,4
13,3
0,0
0,0
0,0
14,18
14,17
14,16
14,15
0,0
14,13
14,12
14,11
0,0
14,9
14,8
14,7
0,0
14,5
14,4
14,3
14,2
0,0
0,0
0,0
0,0
0,0
0,0
15,14
15,13
15,12
15,11
0,0
15,9
15,8
15,7
15,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16,14
16,13
16,12
0,0
0,0
0,0
16,8
16,7
16,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
17,14
17,13
0,0
0,0
0,0
0,0
0,0
17,7
17,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18,14
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
