Xbrew,Ybrew,Xbrewnew,,,,
,71,142,,,,
,70,142,,,,
,67,142,,,,
,66,142,,,,
,64,142,,,,
,63,142,,,,
,60,142,,,,
,59,142,,,,
,57,142,,,,
,56,142,,,,
,53,142,,,,
,52,142,,,,
,50,142,,,,
,49,142,,,,
,46,142,,,,
,45,142,,,,
,71,143,,,,
,70,143,,,,
,67,143,,,,
,66,143,,,,
,64,143,,,,
,63,143,,,,
,60,143,,,,
,59,143,,,,
,57,143,,,,
,56,143,,,,
,53,143,,,,
,52,143,,,,
,50,143,,,,
,49,143,,,,
,46,143,,,,
,45,143,,,,
,70,144,,,,
,69,144,,,,
,68,144,,,,
,67,144,,,,
,63,144,,,,
,62,144,,,,
,61,144,,,,
,60,144,,,,
,56,144,,,,
,55,144,,,,
,54,144,,,,
,53,144,,,,
,49,144,,,,
,48,144,,,,
,47,144,,,,
,46,144,,,,
,69,145,,,,
,68,145,,,,
,62,145,,,,
,61,145,,,,
,55,145,,,,
,54,145,,,,
,48,145,,,,
,47,145,,,,
,70,146,,,,
,69,146,,,,
,68,146,,,,
,67,146,,,,
,63,146,,,,
,62,146,,,,
,61,146,,,,
,60,146,,,,
,56,146,,,,
,55,146,,,,
,54,146,,,,
,53,146,,,,
,49,146,,,,
,48,146,,,,
,47,146,,,,
,46,146,,,,
,71,147,,,,
,70,147,,,,
,67,147,,,,
,66,147,,,,
,64,147,,,,
,63,147,,,,
,60,147,,,,
,59,147,,,,
,57,147,,,,
,56,147,,,,
,53,147,,,,
,52,147,,,,
,50,147,,,,
,49,147,,,,
,46,147,,,,
,45,147,,,,
,71,148,,,,
,70,148,,,,
,67,148,,,,
,66,148,,,,
,64,148,,,,
,63,148,,,,
,60,148,,,,
,59,148,,,,
,57,148,,,,
,56,148,,,,
,53,148,,,,
,52,148,,,,
,50,148,,,,
,49,148,,,,
,46,148,,,,
,45,148,,,,
,57,150,,,,
,56,150,,,,
,46,150,,,,
,45,150,,,,
,57,151,,,,
,56,151,,,,
,46,151,,,,
,45,151,,,,
,56,152,,,,
,55,152,,,,
,54,152,,,,
,48,152,,,,
,47,152,,,,
,46,152,,,,
,55,153,,,,
,54,153,,,,
,48,153,,,,
,47,153,,,,
,54,154,,,,
,53,154,,,,
,49,154,,,,
,48,154,,,,
,53,155,,,,
,52,155,,,,
,50,155,,,,
,49,155,,,,
,53,156,,,,
,52,156,,,,
,50,156,,,,
,49,156,,,,
213,64,160,,,,
213,63,160,,,,
213,60,160,,,,
213,59,160,,,,
213,57,160,,,,
213,56,160,,,,
213,53,160,,,,
