Xleaves,Yleaves,Group,
56,33,1,1
56,34,1,1
56,35,1,1
56,36,1,1
56,42,1,1
56,43,1,1
56,44,1,1
56,51,1,1
56,52,1,1
56,53,1,1
56,54,1,1
56,60,1,1
56,61,1,1
56,62,1,1
56,63,1,1
56,69,1,1
56,70,1,1
56,71,1,1
56,72,1,1
57,31,1,1
57,32,1,1
57,33,1,1
57,34,1,1
57,35,1,1
57,40,1,1
57,41,1,1
57,42,1,1
57,43,1,1
57,44,1,1
57,49,1,1
57,50,1,1
57,51,1,1
57,52,1,1
57,53,1,1
57,58,1,1
57,59,1,1
57,60,1,1
57,61,1,1
57,62,1,1
57,67,1,1
57,68,1,1
57,69,1,1
57,70,1,1
57,71,1,1
58,30,1,1
58,31,1,1
58,32,1,1
58,33,1,1
58,34,1,1
58,39,1,1
58,40,1,1
58,41,1,1
58,42,1,1
58,43,1,1
58,48,1,1
58,49,1,1
58,50,1,1
58,51,1,1
58,52,1,1
58,57,1,1
58,58,1,1
58,59,1,1
58,60,1,1
58,61,1,1
58,66,1,1
58,67,1,1
58,68,1,1
58,69,1,1
58,70,1,1
59,27,1,1
59,28,1,1
59,29,1,1
59,30,1,1
59,31,1,1
59,32,1,1
59,36,1,1
59,37,1,1
59,38,1,1
59,39,1,1
59,40,1,1
59,41,1,1
59,45,1,1
59,46,1,1
59,47,1,1
59,48,1,1
59,49,1,1
59,50,1,1
59,54,1,1
59,55,1,1
59,56,1,1
59,57,1,1
59,58,1,1
59,59,1,1
59,63,1,1
59,64,1,1
59,65,1,1
59,66,1,1
59,67,1,1
59,68,1,1
59,72,1,1
59,73,1,1
59,74,1,1
59,75,1,1
60,72,1,1
60,73,1,1
60,74,1,1
60,75,1,1
60,76,1,1
60,77,1,1
61,27,1,1
61,28,1,1
61,29,1,1
61,30,1,1
61,31,1,1
61,32,1,1
61,36,1,1
61,37,1,1
61,38,1,1
61,39,1,1
61,40,1,1
61,41,1,1
61,45,1,1
61,46,1,1
61,47,1,1
61,48,1,1
61,49,1,1
61,50,1,1
61,54,1,1
61,55,1,1
61,56,1,1
61,57,1,1
61,58,1,1
61,59,1,1
61,63,1,1
61,64,1,1
61,65,1,1
61,66,1,1
61,67,1,1
61,68,1,1
61,72,1,1
61,73,1,1
61,74,1,1
61,75,1,1
62,30,1,1
62,31,1,1
62,32,1,1
62,33,1,1
62,34,1,1
62,39,1,1
62,40,1,1
62,41,1,1
62,42,1,1
62,43,1,1
62,48,1,1
62,49,1,1
62,50,1,1
62,51,1,1
62,52,1,1
62,57,1,1
62,58,1,1
62,59,1,1
62,60,1,1
62,61,1,1
62,66,1,1
62,67,1,1
62,68,1,1
62,69,1,1
62,70,1,1
63,31,1,1
63,32,1,1
63,33,1,1
63,34,1,1
63,35,1,1
63,40,1,1
63,41,1,1
63,42,1,1
63,43,1,1
63,44,1,1
63,49,1,1
63,50,1,1
63,51,1,1
63,52,1,1
63,53,1,1
63,58,1,1
63,59,1,1
63,60,1,1
63,61,1,1
63,62,1,1
63,67,1,1
63,68,1,1
63,69,1,1
63,70,1,1
63,71,1,1
64,33,1,1
64,34,1,1
64,35,1,1
64,36,1,1
64,42,1,1
64,43,1,1
64,44,1,1
64,45,1,1
64,51,1,1
64,52,1,1
64,53,1,1
64,54,1,1
64,60,1,1
64,61,1,1
64,62,1,1
64,63,1,1
64,69,1,1
64,70,1,1
64,71,1,1
64,72,1,1
65,42,2,
65,43,2,
65,44,2,
65,45,2,
65,51,2,
65,52,2,
65,53,2,
65,60,2,
65,61,2,
65,62,2,
65,63,2,
65,69,2,
65,70,2,
65,71,2,
65,72,2,
65,78,2,
65,79,2,
65,80,2,
65,81,2,
66,40,2,
66,41,2,
66,42,2,
66,43,2,
66,44,2,
66,49,2,
66,50,2,
66,51,2,
66,52,2,
66,53,2,
66,58,2,
66,59,2,
66,60,2,
66,61,2,
66,62,2,
66,67,2,
66,68,2,
66,69,2,
66,70,2,
66,71,2,
66,76,2,
66,77,2,
66,78,2,
66,79,2,
66,80,2,
67,39,2,
67,40,2,
67,41,2,
67,42,2,
67,43,2,
67,48,2,
67,49,2,
67,50,2,
67,51,2,
67,52,2,
67,57,2,
67,58,2,
67,59,2,
67,60,2,
67,61,2,
67,66,2,
67,67,2,
67,68,2,
67,69,2,
67,70,2,
67,75,2,
67,76,2,
67,77,2,
67,78,2,
67,79,2,
68,36,2,
68,37,2,
68,38,2,
68,39,2,
68,40,2,
68,41,2,
68,45,2,
68,46,2,
68,47,2,
68,48,2,
68,49,2,
68,50,2,
68,54,2,
68,55,2,
68,56,2,
68,57,2,
68,58,2,
68,59,2,
68,63,2,
68,64,2,
68,65,2,
68,66,2,
68,67,2,
68,68,2,
68,72,2,
68,73,2,
68,74,2,
68,75,2,
68,76,2,
68,77,2,
68,81,2,
68,82,2,
68,83,2,
68,84,2,
69,81,2,
69,82,2,
69,83,2,
69,84,2,
69,85,2,
69,86,2,
70,36,2,
70,37,2,
70,38,2,
70,39,2,
70,40,2,
70,41,2,
70,45,2,
70,46,2,
70,47,2,
70,48,2,
70,49,2,
70,50,2,
70,54,2,
70,55,2,
70,56,2,
70,57,2,
70,58,2,
70,59,2,
70,63,2,
70,64,2,
70,65,2,
70,66,2,
70,67,2,
70,68,2,
70,72,2,
70,73,2,
70,74,2,
70,75,2,
70,76,2,
70,77,2,
70,81,2,
70,82,2,
70,83,2,
70,84,2,
71,39,2,
71,40,2,
71,41,2,
71,42,2,
71,43,2,
71,48,2,
71,49,2,
71,50,2,
71,51,2,
71,52,2,
71,57,2,
71,58,2,
71,59,2,
71,60,2,
71,61,2,
71,66,2,
71,67,2,
71,68,2,
71,69,2,
71,70,2,
71,75,2,
71,76,2,
71,77,2,
71,78,2,
71,79,2,
72,40,2,
72,41,2,
72,42,2,
72,43,2,
72,44,2,
72,49,2,
72,50,2,
72,51,2,
72,52,2,
72,53,2,
72,58,2,
72,59,2,
72,60,2,
72,61,2,
72,62,2,
72,67,2,
72,68,2,
72,69,2,
72,70,2,
72,71,2,
72,76,2,
72,77,2,
72,78,2,
72,79,2,
72,80,2,
73,42,2,
73,43,2,
73,44,2,
73,45,2,
73,51,2,
73,52,2,
73,53,2,
73,54,2,
73,60,2,
73,61,2,
